term,bootstrap_mean,bootstrap_std,conf_low,conf_high,n_bootstrap_success
Intercept,-15.774226821424655,1.3647068547773702,-18.133600264999714,-13.12017368027385,800
profile_cont_big_five_neuroticism_mean_pct_z,1.2893263039762843,1.0597102762955626,-0.7549849375856142,3.2731958424655563,800
profile_cont_big_five_openness_to_experience_mean_pct_z,0.4960108556895282,0.7910072743416404,-1.1074886835717235,2.081497509524714,800
profile_cont_big_five_conscientiousness_mean_pct_z,-3.3192862771530285,1.0024350582928798,-5.101427389659629,-1.199516854773257,800
profile_cont_big_five_extraversion_mean_pct_z,-2.4266843962750837,1.3369838611342848,-5.135785959528946,0.00864603497903531,800
profile_cont_big_five_agreeableness_mean_pct_z,-0.4441928974353745,0.7889353054700162,-1.9335588727963124,1.0782598438640518,800
profile_cat__profile_cat_sex_Female,2.115276403026202,2.0751086759593966,-1.8955109620939126,6.009922251041582,800
profile_cat__profile_cat_sex_Other,2.469992824521791,2.33535972633691,-2.157462085791767,6.87210666732375,800
mean_baseline_abs_score_z,0.13842314170653952,1.9198589797899845,-3.584608510550441,3.7333466612850916,800
mean_exposure_quality_score_z,0.2854715998545455,0.954866010533353,-1.5001198639160536,2.1478648625033325,800
