lhs,op,rhs,estimate,std_error,z_value,p_value
delta_score,~,attack_present,-31.723427009209168,18.402682530729233,-1.7238479746762418,0.08473529131376512
delta_score,~,baseline_score,-0.04695269714949993,0.06878648095118817,-0.6825861201147304,0.4948684071303453
delta_score,~,Susceptibility Index (z),-3.3545902398616865,14.239505943337514,-0.23558333085503022,0.8137560094871645
delta_score,~,attack_present x Susceptibility Index (z),-0.24543848847256056,13.7648249526735,-0.017830847055186994,0.9857737962770405
post_score,~,baseline_score,0.7651633580062442,2.899271326671536,0.26391574702475823,0.7918448413420536
post_score,~,attack_present,9.667008727014641,775.651974885064,0.012463074987267434,0.990056162314662
post_score,~,Susceptibility Index (z),14.615980422256552,600.1788537021298,0.024352708083764767,0.9805712706074166
post_score,~,attack_present x Susceptibility Index (z),10.35532728256301,580.1715940412718,0.01784873197674401,0.9857595284448664
delta_score,~~,delta_score,9.766282787363673,7.9741365042557995,1.2247448713914264,0.2206713619199081
post_score,~~,post_score,17350.054062264324,14166.259820750025,1.224744871391589,0.22067136191984682
