moderator_column,moderator_label,multivariate_estimate,multivariate_std_error,multivariate_p_value,multivariate_conf_low,multivariate_conf_high,univariate_estimate,univariate_std_error,univariate_p_value,univariate_conf_low,univariate_conf_high,role
profile_cat__profile_cat_sex_Other,Sex Other,-3.0404932757041103,3.8349877350079793,0.4278768829124307,-10.556931117472589,4.475944566064365,-2.9183215562810685,2.6076456259884946,0.2630802489747401,-8.029213067661923,2.1925699550997853,core
profile_cat__profile_cat_sex_Female,Sex Female,1.433086071022251,3.8118776162682537,0.7069519847260406,-6.038056770337917,8.90422891238242,3.246304423079593,2.4640524216865245,0.1876825880903879,-1.5831495794446973,8.075758425603883,core
profile_cont_age_years_z,Age Years,376.6872783952028,2406.674415574542,0.8756249246409493,-4340.307898644882,5093.682455435288,2.591747762998967,1.4480135435803916,0.0734757274954385,-0.2463066315448205,5.429802157542754,core
profile_cont_big_five_conscientiousness_mean_pct_z,Big Five Conscientiousness Mean %,618.9492587031107,3979.238701334926,0.876391963052538,-7180.215281801282,8418.113799207504,0.3959912954922686,1.268669461714194,0.7549408315896201,-2.0905551577533688,2.8825377487379056,core
profile_cont_big_five_neuroticism_mean_pct_z,Big Five Neuroticism Mean %,-1093.9513656485465,7043.39738335124,0.8765723079705607,-14898.756565820631,12710.85383452354,1.0391452402765586,1.1880184641827272,0.3817438076152835,-1.289328162490175,3.367618643043292,core
profile_cont_big_five_openness_to_experience_mean_pct_z,Big Five Openness To Experience Mean %,248.78132461637304,1603.114828674879,0.8766745144141647,-2893.2660026684885,3390.828651901235,-0.9162144940798288,1.130270822744936,0.4175867944048241,-3.131504599436359,1.2990756112767017,core
profile_cont_big_five_agreeableness_mean_pct_z,Big Five Agreeableness Mean %,0.948280210799194,1.3618507396666717,0.4862301501693806,-1.720898191266715,3.617458612865103,1.3691410135845503,1.093783169512578,0.2106616639933271,-0.774634605556171,3.512916632725272,exploratory
profile_cont_big_five_extraversion_mean_pct_z,Big Five Extraversion Mean %,-0.6409620984989247,1.7088879493024076,0.7076042753474706,-3.9903209327461537,2.708396735748304,-1.1505935899457542,1.4422138330131298,0.4249884149602443,-3.977280760656952,1.6760935807654436,exploratory
profile_cont_resilience_index_z,Resilience Index,-1309.655619612176,8424.806391731603,0.876464747480904,-17821.972724128962,15202.661484904613,-0.4192301284836758,1.3531442969005505,0.7566984248046785,-3.0713442162945284,2.2328839593271765,exploratory
