ontology,leaf_label,leaf_path,n_scenarios
OPINION,Assimilationism_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Assimilationism_Support,8
OPINION,Border_Enforcement_Expansion_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Border_Enforcement_Expansion_Support,8
OPINION,Detention_of_Irregular_Migrants_Acceptance,Issue_Position_Taxonomy > Immigration_and_Citizenship > Detention_of_Irregular_Migrants_Acceptance,8
OPINION,Immigration_Level_Increase_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Immigration_Level_Increase_Support,8
OPINION,Multiculturalism_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Multiculturalism_Support,8
OPINION,Temporary_Work_Visas_Expansion_Support,Issue_Position_Taxonomy > Immigration_and_Citizenship > Temporary_Work_Visas_Expansion_Support,8
ATTACK,Misleading narrative framing,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,24
