term,bootstrap_mean,bootstrap_std,conf_low,conf_high,n_bootstrap_success
Intercept,15.15026658324369,12.255196693995442,-4.737055268016143,42.269676760779625,800
baseline_score,0.9972274511572414,0.024487466934655908,0.9484210821975442,1.0438408710937626,800
attack_present,38.51547862575638,7.615102298922321,23.018881869469286,52.66363375078263,800
primary_moderator_z,0.5594928334221738,4.713010111222563,-7.747250348598911,9.819311913310782,800
attack_x_primary_moderator,-0.9211705710329957,7.1592551651459395,-15.696016550869818,13.098688692095454,800
opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___border_enforcement_expansion_support,-14.214973627031409,13.533611888531121,-45.29456422568407,8.936071886820418,800
opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___detention_of_irregular_migrants_acceptance,-16.317678218921927,17.201946972990335,-56.46912277065725,12.046972497042244,800
opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___immigration_level_increase_support,-8.243199906118885,13.013999384959817,-35.18504550863398,13.099314851860804,800
opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___multiculturalism_support,-22.38088187189317,15.906266592558387,-58.09148327114827,3.4431084863683004,800
opinion_leaf_fe_issue_position_taxonomy___immigration_and_citizenship___temporary_work_visas_expansion_support,-1.1052739064189625,15.397656771389439,-33.85443516458129,26.173380247448637,800
