term,label,ontology_group,permutation_importance_mean,permutation_importance_std,mdi_importance
profile_cont_big_five_neuroticism_depression_pct,Big Five Neuroticism Depression %,Big Five: Neuroticism,0.004268640025889015,0.0014294237167387087,0.008331720342254411
profile_cont_chronological_age,Chronological Age,Demographics: Age,0.004122780392934911,0.002027160499374023,0.007042642472886756
profile_cont_socioeconomic_status_economic_standing_subjective_class_position_pct,Socioeconomic Status Economic Standing Subjective Class Position %,Socioeconomic Status: Economic,0.004078701061037726,0.0016343845745035244,0.007802441038062938
profile_cont_big_five_conscientiousness_dutifulness_pct,Big Five Conscientiousness Dutifulness %,Big Five: Conscientiousness,0.0038951218081182005,0.0022145155939106787,0.010237640187341373
profile_cont_political_psychology_institutional_trust_government_trust_pct,Political Psychology Institutional Trust Government Trust %,Political Psychology: Institutional Trust,0.0036922031243150854,0.0014863932885081606,0.007922864849850882
profile_cont_big_five_conscientiousness_deliberation_pct,Big Five Conscientiousness Deliberation %,Big Five: Conscientiousness,0.003032182572607114,0.000977123158756191,0.006127718281553654
profile_cont_big_five_agreeableness_compliance_pct,Big Five Agreeableness Compliance %,Big Five: Agreeableness,0.0029396522677386417,0.0007409241126222546,0.005763119034686321
profile_cont_political_psychology_institutional_trust_conspiracy_belief_propensity_pct,Political Psychology Institutional Trust Conspiracy Belief Propensity %,Political Psychology: Institutional Trust,0.002742646253772849,0.0014485429687750757,0.0077089677485096
profile_cont_social_context_social_capital_mean_pct,Social Context Social Capital Mean %,Social Context: Social Capital,0.0023825849238899677,0.0009630181539316388,0.008922965535755886
profile_cont_social_context_social_capital_social_network_diversity_pct,Social Context Social Capital Social Network Diversity %,Social Context: Social Capital,0.0022782693913389607,0.001245253751057888,0.006425320267845117
profile_cont_social_context_social_capital_community_belonging_pct,Social Context Social Capital Community Belonging %,Social Context: Social Capital,0.002068945872254453,0.0006633697728288606,0.006196246984717226
profile_cont_big_five_conscientiousness_self_discipline_pct,Big Five Conscientiousness Self Discipline %,Big Five: Conscientiousness,0.0019071016000784668,0.0007209815721207303,0.004866932031504544
profile_cat__profile_cat_sex_Male,Sex Male,Demographics: Sex,0.0018818570739657736,0.0010338039979667102,0.00414459734450418
profile_cont_big_five_agreeableness_modesty_pct,Big Five Agreeableness Modesty %,Big Five: Agreeableness,0.0015065335404362279,0.0010820351736484859,0.0026634566940992805
profile_cont_big_five_agreeableness_altruism_pct,Big Five Agreeableness Altruism %,Big Five: Agreeableness,0.0012520628856809335,0.0006019002174916284,0.0022281078541505654
profile_cont_social_context_social_capital_social_isolation_pct,Social Context Social Capital Social Isolation %,Social Context: Social Capital,0.00113349015846945,0.0006669887834491392,0.004086380332197985
profile_cont_socioeconomic_status_economic_standing_upward_mobility_belief_pct,Socioeconomic Status Economic Standing Upward Mobility Belief %,Socioeconomic Status: Economic,0.0010823142651776507,0.0005334296273993971,0.0042284088475017054
profile_cat__profile_cat_employment_type_Unemployed_Seeking,Employment Type Unemployed Seeking,Socioeconomic Status: Employment,0.0009674604903637474,0.0003687275112272268,0.0009187283352169934
profile_cat__profile_cat_education_level_Secondary_Completed,Education Level Secondary Completed,Demographics: Education,0.0008780183206704062,0.0004496391309906478,0.0014642303853787393
profile_cat__profile_cat_news_diet_primary_type_Broadcast_Television_Dominant,News Diet Primary Type Broadcast Television Dominant,Demographics: News Diet,0.0007952728312275248,0.00025499882269445936,0.0007244367007104295
profile_cat__profile_cat_sex_Female,Sex Female,Demographics: Sex,0.0006725646936618213,0.0005768034349147371,0.0018017247592652945
profile_cat__profile_cat_sex_Other,Sex Other,Demographics: Sex,0.0006211964044895191,0.00037448694055964394,0.003064937370168174
profile_cat__profile_cat_platform_primary_type_Instagram_TikTok_Dominant,Platform Primary Type Instagram Tiktok Dominant,Social Context: Online Behavior,0.000499734206201119,0.0004865429723996471,0.002152515610049052
profile_cat__profile_cat_news_diet_primary_type_Social_Media_Feed_Dominant,News Diet Primary Type Social Media Feed Dominant,Demographics: News Diet,0.00040252873430642657,0.0005275350033213404,0.002257253162308416
profile_cat__profile_cat_education_level_Post_Secondary_Non_Tertiary,Education Level Post Secondary Non Tertiary,Demographics: Education,0.00035311381170789914,0.0002874217422840117,0.0008628767292923096
profile_cat__profile_cat_education_level_Doctoral_Equivalent,Education Level Doctoral Equivalent,Demographics: Education,0.00023824092654951113,0.00016287864563624126,0.00038546554133565
profile_cat__profile_cat_employment_type_Employed_Part_Time,Employment Type Employed Part Time,Socioeconomic Status: Employment,8.351969827626871e-06,3.983836986781498e-05,0.0001562978623565968
