lhs,op,rhs,estimate,std_error,z_value,p_value
delta_score,~,attack_present,-30.428319213349802,25.384811620385474,-1.1986820965381089,0.23065158218775617
delta_score,~,baseline_score,-0.014703301411055452,0.04613003089574933,-0.3187359974669247,0.7499267151995561
delta_score,~,moderator_z,-4.977558395818207,26.94413325824167,-0.18473625958242643,0.8534359046025886
delta_score,~,attack_x_moderator,15.162066955602343,26.22019150494857,0.5782591996988355,0.5630891359342418
post_score,~,baseline_score,0.9773971696630834,0.33726698588188453,2.897992423137684,0.0037555966261193507
post_score,~,attack_present,-56.75181130861033,185.59404223541821,-0.3057846611079398,0.7597686080926092
post_score,~,moderator_z,-13.927028704737857,196.99459191223698,-0.07069751798537909,0.9436384962571334
post_score,~,attack_x_moderator,38.32178177119495,191.70169163998253,0.1999032008708791,0.8415562870389519
delta_score,~~,delta_score,902.1904621044152,403.47184038348405,2.2360679774997845,0.025347318677468644
post_score,~~,post_score,48225.68480039522,21567.18189503243,2.2360679774997885,0.025347318677468422
