lhs,op,rhs,estimate,std_error,z_value,p_value
delta_score,~,attack_present,7.435326148200966,15.166138633552531,0.49025835302277054,0.6239510934171768
delta_score,~,baseline_score,-0.014860450406174843,0.03033227726711007,-0.489922015245404,0.6241890838308701
delta_score,~,moderator_z,-3.7300715233298947,8.000592821578337,-0.4662243919311931,0.6410548915970833
delta_score,~,attack_x_moderator,-10.387616909326645,9.548930031683273,-1.0878304558583556,0.2766699617318036
post_score,~,baseline_score,0.9219771876691173,2.9618236752348586,0.31128699367820994,0.7555824540049672
post_score,~,attack_present,-0.9195127037626502,1480.9118376174572,-0.0006209098208317342,0.9995045856721403
post_score,~,moderator_z,1.5638321795855954,781.2253932073206,0.002001768238952501,0.998402821094504
post_score,~,attack_x_moderator,0.2854784878330488,932.4142329291757,0.00030617131072336695,0.9997557106420296
delta_score,~~,delta_score,2.574484708073572,2.1020579617927884,1.2247448713910054,0.22067136192006664
post_score,~~,post_score,24547.014704006695,20042.553577804076,1.2247448713915896,0.22067136191984638
