Moderator,Role,Multivariate b,Multivariate p,Univariate b,Univariate p,Ontology group,Normalized weight %
Sex Other,core,-3.0404932757041103,0.4278768829124307,-2.9183215562810685,0.2630802489747401,Demographics: Sex,10.609838996541496
Sex Female,core,1.433086071022251,0.7069519847260406,3.246304423079593,0.1876825880903879,Demographics: Sex,17.953713192882716
Age Years,core,376.6872783952028,0.8756249246409493,2.591747762998967,0.0734757274954385,Demographics: Age,20.560626997572548
Big Five Conscientiousness Mean %,core,618.9492587031107,0.876391963052538,0.3959912954922686,0.7549408315896201,Personality: Conscientiousness,9.53629377613201
Big Five Neuroticism Mean %,core,-1093.9513656485465,0.8765723079705607,1.0391452402765586,0.3817438076152835,Personality: Neuroticism,14.923861643284932
Big Five Openness To Experience Mean %,core,248.78132461637304,0.8766745144141647,-0.9162144940798288,0.4175867944048241,Personality: Openness,4.003520295584823
Big Five Agreeableness Mean %,exploratory,0.948280210799194,0.4862301501693806,1.3691410135845503,0.2106616639933271,Personality: Agreeableness,4.058894962700115
Big Five Extraversion Mean %,exploratory,-0.6409620984989247,0.7076042753474706,-1.1505935899457542,0.4249884149602443,Personality: Extraversion,8.642286878260524
Resilience Index,exploratory,-1309.655619612176,0.876464747480904,-0.4192301284836758,0.7566984248046785,Composite: Resilience,9.710963257040826
