Moderator,Role,Controlled mean b,Controlled p,Ridge mean b,Weight %,SEM mean b,SEM mean |b|,SEM min p,SEM paths
Big Five Neuroticism Mean %,core,2.013182460151998,0.2142267154974818,,,2.0861497692888613,2.6444906013990495,0.050868309445835536,4.0
Sex Other,core,-7.2155808852766015,0.0639943568040277,0.1535761391276432,2.783202159468996,-5.143289895724024,11.557325055672527,0.14281949821433737,4.0
Big Five Conscientiousness Mean %,core,-1.9251951196801889,0.2798951884349281,,,-1.8883509590218404,1.8883509590218404,0.3492388124357939,4.0
Sex Female,core,5.635514621021646,0.1097749978350203,1.3007483861051845,6.893560086974236,2.8132395149971487,13.692114209587077,0.0007239255540012479,4.0
Age Years,core,0.0818868509979535,0.9676977738911532,,,-0.20402819250183057,2.0826790436022784,0.37166427032945015,4.0
Big Five Openness To Experience Mean %,core,0.0728251420562265,0.971166678713219,,,0.10513011617070422,1.8757779795595966,0.38715441012011365,4.0
Big Five Extraversion Mean %,exploratory,-0.3363363980121197,0.8458998166093797,,,,,,
Big Five Agreeableness Mean %,exploratory,-0.3075860125529541,0.8517696231418385,,,,,,
